ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
112,1670,,,,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,2,L,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
113,1672,4,24,,,Fayal,Azores,Portugal,38.6,-28.73,1043,Stratovolcano,2,,3,1,0,,0,,0,0,0,0,3,1,0,0,0,0,0,0,0,
114,1672,8,4,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,3000,4,0,,0,,0,0,0,0,3000,4,0,0,0,0,0,0,0,
115,1673,5,20,312,,Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,5,W,0,,0,,0,,0,1,0,1,0,3,0,0,0,0,0,1,0,1
116,1677,11,22,,,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,2,G,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
117,1679,9,21,,8202,Zukur,Red Sea,Yemen,14.02,42.75,624,Shield volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,1682,8,12,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,4,1,0,,0,,0,0,0,0,4,1,0,0,0,0,0,0,0,
119,1684,12,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,F,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
120,1690,2,3,3138,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,1690,,,,,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
122,1692,6,4,,,Serua,Banda Sea,Pacific Ocean,-6.3,130,641,Stratovolcano,4,L,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
